iter	RMSE
0	2.133361915
1	2.115026152
2	2.098450495
3	2.081052281
4	2.066574775
5	2.051268609
6	2.035717458
7	2.02356621
8	2.007059717
9	1.992392903
10	1.980933339
11	1.967214067
12	1.956947055
13	1.94586262
14	1.935070945
15	1.924159435
16	1.913729117
17	1.905580717
18	1.897051116
19	1.887413835
20	1.879069598
21	1.87149596
22	1.86367389
23	1.856475508
24	1.848238394
25	1.841527224
26	1.835099421
27	1.828412651
28	1.821801401
29	1.814925715
30	1.809439664
31	1.80425199
32	1.797781547
33	1.792942273
34	1.785687735
35	1.780665907
36	1.77603804
37	1.771050693
38	1.7664058
39	1.761564477
40	1.757240684
41	1.75323607
42	1.750036172
43	1.746716289
44	1.742514866
45	1.738258685
46	1.734317683
47	1.730305284
48	1.727262617
49	1.723268458
50	1.72017795
51	1.716839281
52	1.712536852
53	1.708667769
54	1.70504823
55	1.70226855
56	1.69958265
57	1.696840197
58	1.695065933
59	1.691738985
60	1.689210614
61	1.685812582
62	1.683750952
63	1.680776311
64	1.678281945
65	1.675254533
66	1.672104548
67	1.669715962
68	1.668488998
69	1.666287563
70	1.664222799
71	1.660731717
72	1.658427933
73	1.656434484
74	1.654365535
75	1.651143512
76	1.648937393
77	1.647256082
78	1.643971675
79	1.640629946
80	1.63820657
81	1.635093041
82	1.633423373
83	1.630691976
84	1.62822653
85	1.625319565
86	1.622957473
87	1.622189859
88	1.619711679
89	1.618789326
90	1.617549991
91	1.616036663
92	1.614242981
93	1.612404099
94	1.610624306
95	1.607294336
96	1.606003028
97	1.603519685
98	1.601931649
99	1.600832172
100	1.599083111
101	1.598956001
102	1.597376722
103	1.596177889
104	1.59473479
105	1.59142374
106	1.590787821
107	1.590025512
108	1.587526094
109	1.584521853
110	1.582531878
111	1.582192852
112	1.580484611
113	1.578518756
114	1.576187727
115	1.575523997
116	1.574634692
117	1.57197827
118	1.570071329
119	1.56750383
120	1.565618237
121	1.564626892
122	1.56353794
123	1.562427683
124	1.560230652
125	1.558787554
126	1.558045307
127	1.55590637
128	1.554690786
129	1.553208846
130	1.551292533
131	1.549436037
132	1.547739808
133	1.546682111
134	1.545967373
135	1.543280539
136	1.541194291
137	1.53854295
138	1.537313422
139	1.536016224
140	1.534577125
141	1.533921714
142	1.533041046
143	1.532341259
144	1.52995745
145	1.527763193
146	1.526103968
147	1.524328736
148	1.521729403
149	1.520544563
150	1.519774633
151	1.519156584
152	1.517997479
153	1.516123459
154	1.514833133
155	1.512508476
156	1.511405264
157	1.509560707
158	1.508610406
159	1.507939476
160	1.506185759
161	1.505359858
162	1.504310725
163	1.503446138
164	1.502778938
165	1.500701363
166	1.498955387
167	1.497089371
168	1.496215198
169	1.49429062
170	1.491988281
171	1.491437752
172	1.489323609
173	1.487608556
174	1.486200099
175	1.483174841
176	1.481824971
177	1.479732385
178	1.478330424
179	1.475760349
180	1.473503595
181	1.472486454
182	1.471815308
183	1.47082921
184	1.470136382
185	1.469022206
186	1.4673312
187	1.466181111
188	1.463532549
189	1.462410115
190	1.460351321
191	1.459358526
192	1.456958532
193	1.454872529
194	1.452173973
195	1.449724891
196	1.448241427
197	1.446457813
198	1.445373542
199	1.443832078
200	1.443307782
201	1.442310554
202	1.440968958
203	1.43909675
204	1.43745941
205	1.436379727
206	1.435453662
207	1.433492417
208	1.432514068
209	1.430540301
210	1.429200358
211	1.428026349
212	1.427154367
213	1.425398296
214	1.423100627
215	1.422887396
216	1.42151402
217	1.420344263
218	1.41924072
219	1.417111956
220	1.415025429
221	1.411394259
222	1.40986277
223	1.408439585
224	1.404695283
225	1.402752992
226	1.401618935
227	1.398628502
228	1.397108755
229	1.396856059
230	1.396411798
231	1.393848901
232	1.392855271
233	1.391444263
234	1.389827956
235	1.387132759
236	1.38452988
237	1.384273549
238	1.383268225
239	1.381183493
240	1.378513607
241	1.376761044
242	1.373686162
243	1.371095726
244	1.369390907
245	1.368232475
246	1.365571604
247	1.364056217
248	1.363203584
249	1.360802625
250	1.358329717
251	1.357435493
252	1.355032799
253	1.352417062
254	1.350746829
255	1.349644888
256	1.348914484
257	1.346594676
258	1.345869775
259	1.343358921
260	1.342672155
261	1.340979895
262	1.33938605
263	1.339148276
264	1.338864597
265	1.338155564
266	1.336735837
267	1.333773353
268	1.33327364
269	1.332578469
270	1.332108334
271	1.330120591
272	1.329429935
273	1.326734902
274	1.326303762
275	1.325875261
276	1.323325613
277	1.320534444
278	1.318371088
279	1.317658857
280	1.316055852
281	1.314911441
282	1.314128107
283	1.313783287
284	1.311324121
285	1.30925794
286	1.306429816
287	1.305174234
288	1.30456959
289	1.302179898
290	1.300682311
291	1.299272023
292	1.297096603
293	1.294255822
294	1.294137291
295	1.291795003
296	1.290802152
297	1.289126127
298	1.287898408
299	1.285970144
300	1.284237102
301	1.282805447
302	1.281429184
303	1.279433578
304	1.277805899
305	1.276139908
306	1.275793528
307	1.273726713
308	1.271378709
309	1.269488208
310	1.268481501
311	1.267081962
312	1.266559922
313	1.26461283
314	1.262994466
315	1.260358445
316	1.258897961
317	1.257030563
318	1.256582446
319	1.254534563
320	1.253747644
321	1.252406449
322	1.251282366
323	1.249251848
324	1.246147374
325	1.244435868
326	1.242291365
327	1.240482375
328	1.237793932
329	1.23595865
330	1.23537262
331	1.233070944
332	1.230770004
333	1.229726762
334	1.226170978
335	1.225074515
336	1.224320272
337	1.22164973
338	1.21963409
339	1.217311855
340	1.215716877
341	1.213762516
342	1.213194737
343	1.21177599
344	1.210092132
345	1.209362685
346	1.207536873
347	1.207040605
348	1.205333794
349	1.204848242
350	1.202900875
351	1.200658265
352	1.199361794
353	1.197294089
354	1.195179921
355	1.193779013
356	1.192190758
357	1.190917907
358	1.190691043
359	1.189595808
360	1.187704701
361	1.187210513
362	1.185260219
363	1.184082924
364	1.182520746
365	1.181631624
366	1.180359794
367	1.178887075
368	1.177152204
369	1.176519533
370	1.175783135
371	1.174644093
372	1.172867849
373	1.171983098
374	1.170280299
375	1.169011703
376	1.166826216
377	1.164205193
378	1.163755544
379	1.163377258
