"concat('it001', username)",n_assignments,n_problems,pre_score,coefficient,n_languages,is_final,n_failed,mean(avg_time),max(avg_time),mean(avg_mem),max(avg_mem),mean(max_time),max(max_time),mean(max_mem),max(max_mem),n_code_runnable,n_compile_error,n_syntax_error,n_pending,QT
00b6dd4fc7eb817e03708c532016ef30ce564a61,7,46,5504.149659863946,100.0,1,46,484,0.009621311039678388,0.5107692307692309,46.41275821683985,1818.6666666666667,0.025034013605442176,0.94,128.16326530612244,2768.0,119,28,0,0,7.5
00bef8afee8f3c595d535c9c03c490cac1a4f021,9,78,5488.552123552124,100.0,1,78,555,0.009391673963102535,0.6061538461538463,152.77425277425277,1984.0,0.01714285714285714,1.02,201.6988416988417,2644.0,209,50,0,0,7.0
01122b3ef7e59b84189e65985305f575d6bdf83c,7,66,5973.753846153846,100.0,1,67,965,0.017642200854700855,0.524,176.74589743589743,10200.0,0.05271794871794872,0.55,389.12820512820514,10200.0,175,20,0,0,9.0
0134f9f410c65ad0e8c2254a7e9288670e02a183,4,47,5952.76,100.0,1,47,174,0.005910000000000001,0.534,23.808000000000003,1984.0,0.011200000000000002,0.55,59.52,1984.0,76,24,0,0,
013de369c439ab0ead8aa7da64423aa395a8be39,8,52,6474.448598130841,97.19626168224299,1,66,260,0.031731916059018865,0.8035714285714285,186.57170892724264,1785.6,0.06476635514018692,1.06,259.58878504672896,1984.0,94,13,0,0,10.0
014c59c6433fd764a0b08de6ffeb757eaf60aa73,9,90,5240.025125628141,100.0,1,90,528,0.0,0.0,30.906532663316582,1984.0,0.0,0.0,39.879396984924625,1984.0,154,45,0,0,9.0
0155f91fe242fe55e1af631b0f0afbe9938b185c,8,46,4673.3575418994415,99.44134078212291,1,60,558,0.006731843575418995,0.47400000000000003,42.118435754189946,1785.6,0.00893854748603352,0.54,66.50279329608938,1984.0,138,41,0,0,9.0
016f87a7bd87f233a8633fba8a1ca7ef5c3c63c1,10,78,4876.054945054945,100.0,1,77,1402,0.01693491627420199,0.41885714285714293,201.31425954997383,10044.0,0.043653846153846154,1.05,258.85714285714283,10044.0,306,58,0,0,8.0
017ec1bbad0d598e5a86ac3bd595b870b6456e61,11,91,6333.536697247707,100.0,1,91,523,0.005218217562254259,0.8057142857142857,65.58820445609436,3813.2,0.018256880733944957,1.04,195.3577981651376,6444.0,192,26,0,0,8.0
01ad03ec301749c033155fc17e657cc767d447c8,12,72,5182.265682656826,100.0,1,74,905,0.013425254252542526,0.52,75.42171936005074,2128.0,0.04734317343173432,0.6,220.61992619926198,10044.0,218,53,0,0,7.0
020ef1c31cb4751bbfa1a88fba782db3c402e2fa,7,62,6714.891428571428,100.0,1,75,395,0.008564981684981685,0.6065384615384615,29.709128205128206,1297.2307692307693,0.03697142857142857,0.99,136.0457142857143,1984.0,149,26,0,0,9.0
020f253c343856ea875e959023e79fb1d4d9c0a3,1,2,5619.0,100.0,1,2,39,0.009714285714285715,0.029142857142857144,477.8666666666666,1433.6,0.02666666666666667,0.08,881.3333333333334,2644.0,3,0,0,0,10.0
0248e16d134e1bd5b4352701e1f23b904b7c4cdf,8,50,5748.398058252427,100.0,1,51,1059,0.026750900932939765,0.5653846153846154,116.61794041988216,2184.0,0.06747572815533981,0.94,279.7281553398058,2644.0,183,23,0,0,8.0
024af5e4f76c23e7f08616c60e595453e538a1ba,8,90,5460.038461538462,100.0,1,90,680,0.01071896918870603,0.3778947368421053,127.571016352069,2242.5263157894738,0.031384615384615386,1.04,346.46153846153845,10044.0,208,52,0,0,9.5
0297fd76b36e100882756e636bb03031255f57da,6,48,5892.172794117647,100.0,1,49,1223,0.04046958046038929,0.5688461538461539,209.88103856927387,2008.8,0.10080882352941177,0.95,541.9117647058823,10044.0,249,23,0,0,9.0
02c88d535d7393d30ce3338174d0a17ee7e8b8cc,5,71,6998.463276836158,100.0,1,71,455,0.00464030131826742,0.4109999999999999,82.22297551789076,10044.0,0.006158192090395481,0.54,147.11864406779662,10044.0,165,12,0,0,9.0
02f8a629f1a01a476de3944da2860d1c107f1b28,16,104,4195.25376344086,100.0,1,105,1972,0.022694239631336405,0.8078571428571426,142.75808548742336,10044.0,0.044731182795698925,1.05,269.21290322580643,10044.0,371,94,0,0,6.5
0304aa9c12a1c900dcb4413c6a4ce40cc05b1696,5,59,7260.641379310345,100.0,1,59,355,0.006018390804597701,0.4433333333333333,36.48735632183907,1984.0,0.008068965517241379,0.61,41.04827586206896,1984.0,134,11,0,0,9.5
0306a80129ed6d5afadece8164929697bbbdea69,7,17,1907.8947368421052,100.0,1,17,48,0.013815789473684212,0.53,365.8421052631579,1988.0,0.013815789473684212,0.53,365.8421052631579,1988.0,67,9,0,0,9.0
0341249377940c004d0823408ace7cddbddbc923,11,71,5634.343537414966,100.0,2,84,1374,0.010526762699381747,0.5239999999999999,978.6939570822224,18261.75,0.026258503401360548,0.55,1595.469387755102,44952.0,259,35,0,0,10.0
035f97702f2c01d26ab1fae8f39ea2f98a0caa3c,4,50,5035.763888888889,100.0,1,50,385,0.0,0.0,8.266666666666667,396.8,0.0,0.0,41.333333333333336,1984.0,103,41,0,0,
0367f82909c46a900501cc32d02b913923f75314,1,3,4153.166666666667,100.0,1,3,145,0.11704405243878928,0.5707692307692308,1183.992673992674,2990.769230769231,0.18666666666666668,0.95,2985.0,5268.0,12,0,0,0,10.0
038dfa39ea11eb199e32e61fa4bd264d6d7ebc72,5,53,4438.235294117647,100.0,1,53,748,0.015799999999999998,0.526,77.80392156862744,1984.0,0.019470588235294118,0.59,128.3764705882353,1984.0,133,37,0,0,10.0
041dc9a457bc7a9f1dcb5b215aaa78a6868483f5,7,21,6285.714285714285,100.0,1,21,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,2,0,0,9.0
045792bbf5167d31c0064c8520d189a09f276502,5,71,5104.415887850468,100.0,1,71,615,0.014663551401869158,0.5240000000000001,55.626168224299064,1984.0,0.015093457943925236,0.54,55.626168224299064,1984.0,170,44,0,0,9.0
04d32bf7b10a238244d3e1acc3bcf53a449daf99,8,103,5427.372839506173,100.0,1,107,1727,0.05604214620121052,0.6069230769230769,370.8255017410573,10044.0,0.0991358024691358,0.95,544.0888888888888,10044.0,341,64,0,0,7.0
04fea422f4b51279771239f896f7acb7224a2def,5,110,5468.86475409836,100.0,1,109,500,0.0026188524590163935,0.469,54.40327868852459,1984.0,0.00680327868852459,0.54,74.0,2184.0,181,63,0,0,9.0
04feabadb3e2d863eded075f541be8ff78d50474,12,81,6581.517587939698,100.0,1,82,312,0.006486599664991624,0.454,596.1561139028476,20027.0,0.01527638190954774,0.56,2456.8040201005024,80108.0,174,25,0,0,7.5
052039d5c5915699359b1d549b36ea69330c0ac3,7,38,4173.405063291139,91.13924050632912,1,47,391,0.0011482820976491863,0.032,163.01772151898734,5250.742857142857,0.002658227848101266,0.09,272.0506329113924,9676.0,102,56,0,0,9.0
05203b8a827f60a7cbb49a7d04a0b45dae39fa8d,11,113,4443.607758620689,100.0,1,115,2876,0.026881983916466675,1.027,196.95410298513747,1984.0,0.06616379310344828,1.06,604.8103448275862,10044.0,554,142,0,0,10.0
05218d5a6d67f5c1d6305dffb907e940260304c1,6,104,5878.583090379008,100.0,1,108,939,0.006217687074829932,0.31500000000000006,136.27949465500487,10044.0,0.03107871720116618,0.55,284.8746355685131,10044.0,296,47,0,0,9.0
