iter	Passed	Remaining
0	141	141324
1	143	71409
2	144	48048
3	145	36317
4	147	29255
5	148	24558
6	149	21199
7	150	18688
8	151	16725
9	153	15160
10	154	13878
11	155	12808
12	157	11924
13	158	11169
14	159	10496
15	161	9905
16	162	9389
17	163	8923
18	164	8508
19	165	8133
20	167	7799
21	168	7496
22	169	7220
23	171	6964
24	172	6736
25	174	6523
26	175	6320
27	176	6133
28	177	5958
29	179	5798
30	180	5648
31	181	5503
32	183	5370
33	184	5244
34	185	5120
35	186	5005
36	188	4912
37	190	4810
38	191	4714
39	192	4620
40	193	4534
41	195	4449
42	196	4368
43	197	4298
44	199	4226
45	200	4158
46	201	4091
47	203	4033
48	205	3979
49	206	3922
50	207	3868
51	209	3813
52	210	3762
53	211	3712
54	213	3669
55	215	3625
56	216	3581
57	217	3537
58	219	3499
59	220	3460
60	222	3420
61	223	3383
62	225	3347
63	226	3311
64	227	3276
65	229	3241
66	230	3208
67	231	3176
68	233	3145
69	234	3119
70	236	3093
71	237	3065
72	239	3038
73	240	3010
74	241	2984
75	243	2959
76	244	2935
77	246	2910
78	247	2886
79	248	2862
80	250	2843
81	252	2823
82	253	2803
83	255	2782
84	256	2763
85	258	2744
86	259	2725
87	261	2706
88	262	2688
89	264	2669
90	266	2660
91	267	2643
92	269	2625
93	270	2608
94	272	2592
95	273	2577
96	275	2560
97	276	2544
98	277	2528
99	279	2513
100	280	2498
101	282	2484
102	283	2470
103	285	2457
104	286	2444
105	288	2430
106	289	2416
107	290	2402
108	292	2389
109	293	2375
110	294	2362
111	296	2349
112	297	2338
113	299	2327
114	300	2315
115	302	2304
116	303	2293
117	305	2281
118	306	2270
119	308	2258
120	309	2248
121	310	2237
122	312	2227
123	314	2218
124	315	2209
125	317	2199
126	318	2191
127	320	2181
128	322	2174
129	323	2165
130	325	2156
131	326	2146
132	327	2136
133	329	2128
134	330	2119
135	332	2111
136	333	2102
137	335	2092
138	336	2083
139	337	2074
140	338	2065
141	340	2056
142	341	2047
143	343	2039
144	344	2032
145	346	2023
146	347	2016
147	348	2007
148	350	2000
149	351	1992
150	353	1984
151	354	1977
152	355	1969
153	357	1962
154	358	1954
155	360	1949
156	361	1942
157	363	1934
158	364	1927
159	365	1920
160	367	1913
161	368	1906
162	369	1899
163	371	1893
164	372	1886
165	374	1879
166	375	1873
167	377	1867
168	378	1861
169	379	1854
170	381	1847
171	382	1841
172	383	1834
173	385	1828
174	386	1822
175	388	1816
176	390	1813
177	391	1809
178	393	1804
179	394	1798
180	396	1793
181	397	1787
182	399	1783
183	400	1777
184	402	1772
185	404	1768
186	405	1763
