iter	RMSE
0	2.137973774
1	2.117603318
2	2.098010997
3	2.081671489
4	2.063036562
5	2.042331227
6	2.022787884
7	2.005487124
8	1.990039954
9	1.976624279
10	1.962710698
11	1.95037097
12	1.935978465
13	1.921708472
14	1.906834812
15	1.894809776
16	1.882360691
17	1.871451108
18	1.861188579
19	1.849814346
20	1.839126015
21	1.827111254
22	1.818347255
23	1.80728519
24	1.796062213
25	1.788753382
26	1.778151865
27	1.770007006
28	1.761886808
29	1.754711829
30	1.748469787
31	1.741848916
32	1.733518909
33	1.729120298
34	1.722318858
35	1.716414095
36	1.711681897
37	1.705597885
38	1.699675732
39	1.694897489
40	1.688020972
41	1.683887265
42	1.680554005
43	1.675261933
44	1.67071082
45	1.665517719
46	1.661141086
47	1.655674928
48	1.650495044
49	1.646070704
50	1.641855002
51	1.637995176
52	1.634492237
53	1.630073924
54	1.625549271
55	1.622813721
56	1.617345854
57	1.611850199
58	1.607462305
59	1.603895058
60	1.5991762
61	1.595067948
62	1.592914401
63	1.589068593
64	1.586605737
65	1.583322846
66	1.578997978
67	1.57469821
68	1.571354735
69	1.56702413
70	1.564036333
71	1.559965191
72	1.556116089
73	1.553211264
74	1.551010435
75	1.548502285
76	1.546356912
77	1.543700559
78	1.542432788
79	1.538777191
80	1.535675449
81	1.534362763
82	1.532446685
83	1.530947492
84	1.528557534
85	1.52525396
86	1.522859858
87	1.521056664
88	1.517870527
89	1.515461006
90	1.514131557
91	1.510736979
92	1.508904349
93	1.507287946
94	1.504977726
95	1.50203918
96	1.500529994
97	1.499354453
98	1.49727249
99	1.495890871
100	1.493603607
101	1.490914574
102	1.488077474
103	1.485570244
104	1.484842533
105	1.482514138
106	1.481697335
107	1.479138112
108	1.47754269
109	1.475325977
110	1.472509243
111	1.470093693
112	1.466525184
113	1.464942234
114	1.460425757
115	1.457734538
116	1.456426465
117	1.453990569
118	1.452627152
119	1.449894819
120	1.44621695
121	1.445108784
122	1.442883524
123	1.440969965
124	1.438931928
125	1.437132093
126	1.435274637
127	1.433457095
128	1.432525311
129	1.430897942
130	1.429733754
131	1.428519033
132	1.426646342
133	1.425316361
134	1.422305969
135	1.419713945
136	1.418692988
137	1.416456547
138	1.414942574
139	1.413767589
140	1.41237986
141	1.40903614
142	1.408147401
143	1.406469555
144	1.403057451
145	1.400342886
146	1.398196841
147	1.39617148
148	1.394054906
149	1.392632813
150	1.391435398
151	1.390543913
152	1.387922965
153	1.387218901
154	1.384387786
155	1.382964313
156	1.381838326
157	1.38087555
158	1.378635331
159	1.377889621
160	1.374769371
161	1.373307411
162	1.37188943
163	1.369600261
164	1.368121652
165	1.366342314
166	1.36455133
167	1.362383783
168	1.361427259
169	1.357653958
170	1.355715912
171	1.35455638
172	1.352964508
173	1.350959847
174	1.34963688
175	1.348047898
176	1.345670329
177	1.343113574
178	1.339229809
179	1.338135198
180	1.336322492
181	1.334633812
182	1.332993327
183	1.331507781
184	1.32896587
185	1.328260332
186	1.326112295
187	1.32558897
188	1.323637567
189	1.322716365
190	1.321895895
191	1.320934902
192	1.317086889
193	1.315771338
194	1.313892969
195	1.311313322
196	1.309432907
197	1.307060069
198	1.306367451
199	1.304730551
200	1.3042288
201	1.302954433
202	1.302418027
203	1.300275509
204	1.299456675
205	1.298210131
206	1.295715352
207	1.294160197
208	1.292438389
209	1.291115716
210	1.290064738
211	1.289069524
212	1.286797432
213	1.286158701
214	1.285352584
215	1.284191833
216	1.282118172
217	1.28084808
218	1.280249436
219	1.279431975
220	1.277869522
221	1.276822254
222	1.274725681
223	1.273953408
224	1.271143454
225	1.26975938
226	1.268961342
227	1.267915828
228	1.267230852
229	1.263837064
230	1.260768453
231	1.256804152
232	1.255857938
233	1.254377273
234	1.25313472
235	1.252641197
236	1.251402243
237	1.249258964
238	1.246392174
239	1.245323139
240	1.244420568
241	1.243669126
242	1.240551392
243	1.240167402
244	1.238622402
245	1.237999371
246	1.236967574
247	1.236447489
248	1.235743379
249	1.235341778
250	1.234758847
251	1.231633177
252	1.228334769
253	1.226094442
254	1.225513555
255	1.22504674
256	1.22453317
257	1.223845286
258	1.222841074
259	1.222202987
260	1.221953207
261	1.219184049
262	1.218642208
263	1.217595746
264	1.217009063
265	1.216276527
266	1.215002023
267	1.213303895
268	1.210959411
269	1.210657684
270	1.209781153
271	1.20728308
272	1.205878809
273	1.204477205
274	1.201839628
275	1.199104077
276	1.197336817
277	1.197132378
278	1.19529784
279	1.194595904
280	1.193775893
281	1.19311018
282	1.19223499
283	1.189495098
284	1.187786004
285	1.184115643
286	1.18082091
287	1.178829283
288	1.177674444
289	1.174689738
290	1.174346731
291	1.173569198
292	1.17272523
293	1.170627479
294	1.168614087
295	1.167912544
296	1.165015343
297	1.164671408
298	1.164335979
299	1.164073687
300	1.162117744
301	1.160786458
302	1.158106932
303	1.157427603
304	1.157105306
305	1.1566191
306	1.156323764
307	1.15610922
308	1.155191311
309	1.152958067
310	1.150593526
311	1.148976672
312	1.148735497
313	1.147493272
314	1.146796954
315	1.143975031
316	1.14255401
317	1.14204542
318	1.140394318
319	1.138883794
320	1.136061079
321	1.134101116
322	1.131954927
323	1.129519408
324	1.127688446
325	1.125195445
326	1.123014976
327	1.121058662
328	1.118427857
329	1.117780552
330	1.117516358
331	1.115870573
332	1.113802593
333	1.112533489
334	1.111999617
335	1.109320062
336	1.107535358
337	1.106904848
338	1.106510448
339	1.105303154
340	1.103275553
341	1.101694762
342	1.100062375
343	1.097706646
344	1.09644958
345	1.095109617
346	1.09386953
347	1.093218443
348	1.091877009
349	1.090228584
350	1.08901717
351	1.087220269
352	1.085566617
353	1.084958458
354	1.083320006
355	1.083086772
356	1.081492255
357	1.08032762
358	1.078360361
359	1.075846803
360	1.075646367
361	1.074930839
362	1.074499502
363	1.071270286
364	1.068858867
365	1.067397559
366	1.066979741
367	1.065517374
368	1.064274709
369	1.062126002
370	1.060826531
371	1.060110752
372	1.059009151
373	1.058117838
374	1.055858978
375	1.055364237
376	1.052545863
377	1.051060932
378	1.048686407
379	1.04820769
380	1.048024745
381	1.045200487
382	1.043880653
383	1.041806038
384	1.040246654
385	1.039514099
386	1.036689712
387	1.035349477
388	1.033779628
389	1.032282428
390	1.031363372
391	1.030465717
392	1.028949474
393	1.027473525
394	1.02707337
395	1.025502052
396	1.023141629
397	1.022153418
398	1.021992907
399	1.021490165
400	1.019206479
401	1.017225173
402	1.015361732
403	1.014160015
404	1.013226776
405	1.010893136
406	1.010601113
407	1.008830596
408	1.006687526
409	1.005481116
410	1.0050836
411	1.004097649
412	1.003476622
413	1.002879244
414	1.00180969
415	1.000329247
416	0.9991227659
417	0.9975087098
418	0.9960892495
419	0.9948679532
420	0.994214556
421	0.9924960088
422	0.9916026118
423	0.989850268
424	0.9881102634
425	0.9865141651
426	0.9855159573
427	0.984552561
428	0.9838488081
429	0.9832116714
430	0.983138549
431	0.9821084058
432	0.9801313332
433	0.9794630825
434	0.9774259861
435	0.9751503165
436	0.9745404954
437	0.9738904545
438	0.9729237139
439	0.9720039232
440	0.9698983577
441	0.9697476187
442	0.9692099797
443	0.9675376171
444	0.9665444056
445	0.9644034231
