iter	Passed	Remaining
0	144	144165
1	145	72685
2	147	48856
3	148	36921
4	149	29751
5	150	24952
6	152	21598
7	153	19044
8	154	17039
9	155	15434
10	157	14141
11	158	13059
12	159	12145
13	161	11362
14	162	10684
15	164	10089
16	165	9562
17	167	9118
18	168	8703
19	169	8325
20	171	7983
21	172	7672
22	173	7387
23	175	7120
24	176	6875
25	177	6649
26	178	6440
27	179	6248
28	181	6065
29	182	5906
30	183	5751
31	185	5605
32	186	5475
33	188	5347
34	189	5226
35	190	5111
36	192	5004
37	193	4900
38	194	4801
39	196	4716
40	198	4633
41	199	4552
42	201	4476
43	202	4401
44	203	4326
45	205	4254
46	206	4188
47	207	4124
48	209	4071
49	211	4016
50	216	4032
51	218	3987
52	220	3941
53	222	3893
54	223	3846
55	225	3800
56	226	3751
57	228	3705
58	229	3665
59	231	3624
60	232	3582
61	234	3540
62	235	3500
63	236	3460
64	238	3425
65	239	3389
66	240	3354
67	242	3318
68	243	3284
69	244	3252
70	246	3223
71	247	3192
72	249	3162
73	250	3132
74	251	3104
75	253	3076
76	254	3050
77	255	3024
78	257	2998
79	258	2973
80	259	2948
81	261	2926
82	262	2904
83	264	2879
84	265	2856
85	266	2832
86	267	2809
87	268	2786
88	270	2765
89	271	2743
90	272	2721
91	273	2700
92	274	2679
93	275	2659
94	277	2641
95	278	2623
96	280	2607
97	281	2591
98	283	2575
99	284	2560
100	285	2545
101	287	2530
102	288	2515
103	290	2500
104	291	2484
105	292	2470
106	294	2456
107	295	2442
108	297	2430
109	298	2417
110	299	2402
111	301	2388
112	302	2373
113	303	2359
114	304	2345
115	305	2330
116	307	2317
117	309	2309
118	310	2297
119	311	2287
120	313	2277
121	314	2266
122	316	2254
123	317	2242
124	318	2230
125	319	2218
126	321	2206
127	322	2195
128	323	2184
129	324	2174
130	326	2164
131	327	2153
132	328	2143
133	330	2133
134	331	2123
135	332	2114
136	334	2104
137	335	2094
138	336	2085
139	337	2075
140	339	2067
141	340	2060
142	342	2051
143	343	2042
144	344	2034
145	346	2025
146	347	2017
147	348	2008
148	350	2001
149	351	1992
150	352	1984
151	354	1975
152	355	1968
153	356	1961
154	358	1953
155	359	1946
156	361	1940
157	362	1932
158	364	1926
159	365	1918
160	366	1912
161	368	1906
162	370	1900
163	371	1894
164	372	1887
165	374	1880
166	375	1873
167	376	1866
168	378	1859
169	379	1853
170	381	1847
171	382	1841
172	383	1834
173	384	1826
174	385	1819
175	387	1814
176	388	1807
177	390	1801
178	391	1795
179	392	1789
180	394	1784
181	395	1778
182	397	1772
183	399	1769
184	400	1764
185	401	1758
186	403	1753
187	404	1747
188	406	1742
189	407	1737
190	408	1731
191	410	1725
192	411	1720
193	413	1715
194	414	1710
195	415	1705
196	417	1700
197	418	1695
198	419	1690
199	421	1685
200	422	1680
201	424	1675
202	425	1671
203	427	1667
204	428	1663
205	430	1658
206	431	1653
207	433	1648
208	434	1645
209	436	1640
210	437	1636
211	439	1631
212	440	1627
213	442	1624
214	443	1620
215	445	1617
216	447	1613
217	448	1608
218	451	1610
219	453	1606
220	454	1603
221	457	1603
222	459	1599
223	460	1595
224	462	1591
225	463	1587
226	464	1583
227	466	1579
228	467	1575
229	469	1570
230	470	1566
231	471	1562
232	473	1558
233	474	1553
234	475	1549
235	477	1545
236	478	1541
237	480	1537
238	481	1534
239	483	1530
240	484	1527
241	486	1523
242	487	1519
243	488	1514
244	490	1510
245	491	1506
246	492	1501
247	493	1497
248	494	1492
249	496	1488
250	497	1483
251	498	1479
252	499	1476
253	501	1472
254	502	1468
255	503	1464
256	505	1460
257	506	1456
258	507	1452
259	508	1448
260	510	1444
261	511	1440
262	513	1438
263	514	1434
264	515	1430
265	517	1426
266	518	1422
267	519	1419
268	521	1416
269	522	1412
270	523	1409
271	525	1405
272	526	1402
273	527	1398
274	529	1396
275	530	1392
276	532	1389
277	533	1385
278	535	1382
279	536	1379
280	537	1376
281	539	1373
282	540	1369
283	542	1367
284	543	1364
285	545	1361
286	546	1358
287	548	1355
288	549	1352
289	551	1349
290	552	1346
291	554	1343
292	555	1340
293	557	1337
294	558	1334
295	559	1331
296	561	1329
297	562	1325
298	564	1322
299	565	1319
300	566	1316
301	568	1312
302	569	1310
303	570	1307
304	572	1303
305	573	1300
306	574	1297
307	576	1295
308	577	1292
309	579	1289
310	581	1287
311	582	1284
312	583	1281
313	585	1278
314	586	1276
315	588	1273
316	589	1270
317	591	1267
318	592	1265
319	594	1263
320	596	1261
321	598	1259
322	599	1256
323	601	1254
324	602	1251
325	604	1248
326	605	1246
327	606	1243
328	608	1240
329	609	1237
330	611	1234
331	612	1232
332	613	1229
333	615	1226
334	616	1223
335	617	1220
336	618	1217
337	620	1214
338	621	1211
339	623	1209
340	624	1207
341	625	1204
342	627	1201
343	628	1198
344	630	1196
345	631	1193
346	632	1190
347	634	1188
348	635	1185
349	637	1183
350	638	1180
351	639	1177
352	641	1175
353	642	1172
354	643	1169
355	645	1167
356	646	1164
357	647	1161
358	649	1158
359	650	1156
360	651	1153
361	652	1150
362	653	1147
363	655	1145
364	656	1142
365	658	1140
366	659	1137
367	661	1135
368	662	1132
369	663	1130
370	665	1127
371	666	1125
372	667	1122
373	669	1120
374	670	1118
375	672	1115
376	673	1113
377	675	1111
378	676	1108
379	677	1106
380	679	1103
381	681	1102
382	683	1100
383	684	1098
384	688	1099
385	690	1098
386	693	1098
387	695	1096
388	696	1094
389	698	1092
390	699	1089
391	700	1087
392	702	1085
393	704	1083
394	705	1080
395	706	1078
396	708	1075
397	709	1073
398	710	1070
399	712	1068
400	713	1065
401	714	1063
402	716	1061
403	718	1059
404	720	1057
405	721	1055
406	723	1053
407	724	1051
408	725	1049
409	727	1046
410	728	1044
411	729	1041
412	731	1039
413	732	1036
414	733	1033
415	734	1031
416	735	1028
417	737	1026
418	738	1023
419	739	1021
420	740	1018
421	741	1016
422	742	1013
423	744	1010
424	745	1008
425	746	1006
426	748	1004
427	749	1001
428	750	999
429	752	997
430	753	994
431	754	992
432	756	990
433	757	987
434	758	985
435	759	982
436	760	980
437	762	977
438	763	975
439	764	973
440	766	971
441	767	969
442	768	966
443	770	964
444	771	962
445	772	959
446	774	958
447	775	955
448	776	953
449	778	951
450	779	949
451	780	946
452	782	944
453	783	942
454	784	940
455	786	937
456	787	935
457	788	933
458	789	930
459	791	928
460	792	926
461	793	924
462	794	921
463	796	919
464	797	917
465	798	915
466	799	913
467	801	910
468	802	908
469	804	906
470	805	904
471	806	902
472	808	900
473	809	897
474	810	895
475	811	893
476	813	891
477	814	889
478	815	887
479	816	884
480	817	882
481	819	880
482	820	878
483	821	875
484	822	873
485	823	871
486	825	869
487	826	867
488	827	864
489	829	863
490	830	861
491	831	858
492	833	856
493	834	854
494	835	852
495	836	850
496	838	848
497	839	846
498	840	844
499	842	842
500	843	840
501	845	838
502	846	836
503	847	834
504	849	832
505	850	830
506	851	828
507	852	825
508	854	823
509	855	821
510	856	819
511	857	817
512	859	815
513	861	814
514	862	812
515	863	810
516	864	808
517	866	805
518	867	803
519	868	801
520	869	799
521	871	797
522	872	795
523	873	793
524	874	791
525	876	789
526	877	787
527	878	785
528	880	783
529	881	781
530	882	779
531	884	777
532	885	775
533	887	774
534	888	772
535	889	770
536	891	768
537	892	766
538	894	764
539	895	762
540	896	760
541	898	758
542	899	756
543	900	754
544	901	752
545	903	751
546	904	749
547	905	747
548	907	745
549	908	743
550	910	741
551	911	739
552	912	737
553	914	736
554	916	734
555	917	733
556	919	731
557	921	729
558	923	728
559	925	727
560	927	725
561	928	723
562	930	722
563	931	720
