hash,diemqt_predicted
ed9eaeb6a707f50154024b24d7efcb874a9795dd,8.232973
ba12c0a2cb367af0467e479c03507c71a805d291,8.311736
0bd2037bf68a97753e5e67ab55dac026a649f279,8.039413
b7298b0fe50443a623af9b56792b330c2d052845,8.4074135
c60be70309789b39355dc612f36e37090ccad5dc,8.568193
83e4ca230ab9b35d221d09d335850af44966b772,8.080425
a22a58c5be8aa2c2700619e37f2b7a6e4efa7e6b,8.85884
d5841f944022e9ef49bf6ac9b5546dd82ab2784f,8.590954
0dfa65b4dafad47b15abbfd6c6ce1aeb213901cf,5.229621
67d64015616b9e7f49e213890b7b93a2f8796f07,8.431566
eb451c65ea210bed6af798282c2c6205c79f71fd,8.54799
c3e73d0362e2b21fae6edfcf518063e8a28b7b63,8.446906
df9e2c6cfb6035fa5b26af3b101bacf64e95e913,8.114979
18fc5492e3a88861f35c23bbb2805f724c1a135a,9.174926
99103791231143dd15aa77f2aeb87b2cd4a1c22e,6.75978
60c257442a0ef9aa6eb039f58c40be980bfe58b7,8.881251
4cd092562ee4a06eb01e8bd1e9cb7e169fc38c92,9.117207
40d6052a7ccec94dae8348e5249381afabbbc985,8.482957
e2ed5ffddf1e60198f9f138810f84b7107ca0561,8.096247
8554d1155712da4bc72ec5921db3227311265359,8.438966
020f253c343856ea875e959023e79fb1d4d9c0a3,9.260758
139aa923bf965f373c678ba8c10f500d78269e20,8.808199
1e09b1a5541a443716e68239b181fc116425a9b2,8.140789
89fe8b96c04597a0fb63dca3a86e5f36e7580940,8.943891
8b65dcf807a9de0c95c0896919da04523176fab8,8.34243
b6e252e4989b3b422d69eae06831ad0bfd396126,8.497129
9e0457ac0f2824c5e725d83bdeee91ed078343b4,8.652514
6c374b4a75105783a809e8b6ba468da3200d0c1a,8.682829
57b547211651511366a63249605b9b9f4a9c3e9c,8.666413
c9c6d1fdb1bc64d7137f0fb7050e334cbb7c0f6e,8.968631
ed6c052a16794cf2376b1497c505b438e9af69b6,7.5153136
1cb262ad711450f9a6a0f5cf786788b17d2d481a,8.084211
c5d903eea354607809419b5e23c869ea16626a59,8.867612
0c67423aa82630d4406e9477bb7462db4df09c4d,8.335498
701f03bc7072ef7b0114a4769bc8955e5e5c9af2,8.557837
927008a1eb1983b52fe269b504f398ca185603c3,8.228989
7985b1dc9dd0dab814afa417245073d1d74f85ea,8.500075
fd29d68d81bf469540c56ab7074ad748cd72203c,7.399051
d6f54f87ad964bd1cea20ffceea962f8b6236da3,8.282915
448866b737d07d7d184e7c1111b8f50d1b8fe91b,7.529952
97983f3249349cfcb409b75d5f53e5cbab2bfa5a,8.907097
62cf219990f892f13b18fb0ec1f08a2aebdae0ad,8.181312
b72f0fecebc0120609eb4643631055b2e7a31fd7,7.960382
f3a7769633f8060ffee4a0295c55ec9be084e3c0,8.400584
47e01709f5df0b8793de34e70e8ddd9f8aa16d60,8.12837
abf736b0441172883ba772951733e73d557598ab,8.774867
