hash,TBTL_predicted
ed9eaeb6a707f50154024b24d7efcb874a9795dd,6.384333
ba12c0a2cb367af0467e479c03507c71a805d291,6.64483
0bd2037bf68a97753e5e67ab55dac026a649f279,5.5881042
b7298b0fe50443a623af9b56792b330c2d052845,7.066719
c60be70309789b39355dc612f36e37090ccad5dc,6.6737804
83e4ca230ab9b35d221d09d335850af44966b772,6.770404
a22a58c5be8aa2c2700619e37f2b7a6e4efa7e6b,7.2091403
d5841f944022e9ef49bf6ac9b5546dd82ab2784f,8.103241
0dfa65b4dafad47b15abbfd6c6ce1aeb213901cf,3.1965914
67d64015616b9e7f49e213890b7b93a2f8796f07,8.305822
eb451c65ea210bed6af798282c2c6205c79f71fd,7.6260734
c3e73d0362e2b21fae6edfcf518063e8a28b7b63,8.108704
df9e2c6cfb6035fa5b26af3b101bacf64e95e913,6.606549
18fc5492e3a88861f35c23bbb2805f724c1a135a,7.5514593
99103791231143dd15aa77f2aeb87b2cd4a1c22e,4.908774
60c257442a0ef9aa6eb039f58c40be980bfe58b7,5.91273
4cd092562ee4a06eb01e8bd1e9cb7e169fc38c92,8.199182
40d6052a7ccec94dae8348e5249381afabbbc985,6.5963063
e2ed5ffddf1e60198f9f138810f84b7107ca0561,5.4113216
8554d1155712da4bc72ec5921db3227311265359,7.3463473
020f253c343856ea875e959023e79fb1d4d9c0a3,8.158405
139aa923bf965f373c678ba8c10f500d78269e20,7.9817505
1e09b1a5541a443716e68239b181fc116425a9b2,6.1808143
89fe8b96c04597a0fb63dca3a86e5f36e7580940,6.5566354
8b65dcf807a9de0c95c0896919da04523176fab8,5.3349338
b6e252e4989b3b422d69eae06831ad0bfd396126,6.1818714
9e0457ac0f2824c5e725d83bdeee91ed078343b4,7.8617744
6c374b4a75105783a809e8b6ba468da3200d0c1a,6.791116
57b547211651511366a63249605b9b9f4a9c3e9c,6.79835
c9c6d1fdb1bc64d7137f0fb7050e334cbb7c0f6e,8.36574
ed6c052a16794cf2376b1497c505b438e9af69b6,6.632262
1cb262ad711450f9a6a0f5cf786788b17d2d481a,5.7165174
c5d903eea354607809419b5e23c869ea16626a59,7.0687375
0c67423aa82630d4406e9477bb7462db4df09c4d,7.8851414
701f03bc7072ef7b0114a4769bc8955e5e5c9af2,5.53321
927008a1eb1983b52fe269b504f398ca185603c3,6.541744
7985b1dc9dd0dab814afa417245073d1d74f85ea,5.073596
fd29d68d81bf469540c56ab7074ad748cd72203c,5.563953
d6f54f87ad964bd1cea20ffceea962f8b6236da3,7.3160663
448866b737d07d7d184e7c1111b8f50d1b8fe91b,4.6477633
97983f3249349cfcb409b75d5f53e5cbab2bfa5a,7.906277
62cf219990f892f13b18fb0ec1f08a2aebdae0ad,6.6882486
b72f0fecebc0120609eb4643631055b2e7a31fd7,6.470106
f3a7769633f8060ffee4a0295c55ec9be084e3c0,6.5867124
47e01709f5df0b8793de34e70e8ddd9f8aa16d60,6.3959813
abf736b0441172883ba772951733e73d557598ab,7.156128
af99c21153a5cd9289febb0cc7d1f8cbee810621,3.6105943
1abf62f1e76bc5ac164061cff2a8171d6b6de657,5.269815
f5a2b63a98287f49a07f6101717dd4c1048b9903,5.798879
78d8860538c6853a9c13a0c232dadcfa0d516f08,6.555613
a9947ca4f64f3122a22c7827ae089d48db8fd76d,5.671268
64bb0d71f782349bd0bce3ba44cf9b454bd46cfd,6.7092533
454c509567c0f19453009731315e3db245a8c756,6.5520225
3015441ae521554bb4d04b1e3bad620170a43d79,7.05194
2290b12e40983b7635bc452c3b6e00c80549220a,7.6404495
769df9fad97e6d153e170a9ec41e33e8410f4b6b,5.9796352
2639f9f46c6949536c784118cbcd036cd00c075e,5.567143
14354d2cff31b4330ad9e939b18cc8fce8c1c085,6.898369
216a3ccb8504db72c0b5ef227b00d61d2e2ec7be,5.6798496
d28c344507f89c41df926794e0d5a96d10349014,8.673518
50779b692cc73e3ba24df84db11b8e2bbb062591,7.500299
ac6522ed2e2b8a808bb80970ccffcb6572183349,7.764969
8cf96ad1e77c722694ef03a06a781d61d632f2c0,7.37899
92de4c1319bb3b07781b63801e4599302764dc5f,6.5289416
331639421af1df525391f1013c5363683efb9f68,6.724043
5389d34e45392c6d5e8596d686b06d853e1ed696,6.4157157
14a493d035053a109eeeeb50a501d2b69a8ec429,7.22722
f0cbea39c26f2cf588e04885ddc1a439564bd782,6.3073235
f1299639d65fd743440958354f22154e171500d0,5.547236
394f4eb7fa3337f92a1148e8e9ba1727995bc8f5,8.046841
0306a80129ed6d5afadece8164929697bbbdea69,5.8574014
943f8910b7d79d76726a7c50a996a39a00fb033b,6.325536
fc4d0cb084cf3b98bbe820a9fc36fd437940969e,4.973802
334f25ceeca6e440b1210f205c253cdc8d25942e,6.603963
1ff3bf1f9353578bd902ce0b3879369b46c72640,2.6992166
c084f1399d2813131b70acb3920068a454cea6d5,5.8219767
0659d0431565eaacdc601973560ee8331f910947,6.5764756
979ddec134899a31461a05d820b9d6cad713715b,5.4095354
5b30abfc32d4c33257f7cd949641935527dd4a42,6.640106
f7d331120e9b3a15cf4a0028849bf050846d5d6a,6.5151634
440a4bdda60ec044e91b9e5ee5c478c20bbbaf7e,7.9390893
8866a6da23ad8a2abfb243905e0b5e2c98e366bc,6.7296624
0fc74820b7bcdd23c196f494e7686305acbdc71e,5.742046
5c67cd01bb445f9b80d30f2c551d0d42776898fe,5.6458616
f408354e704d901dac2f283fc8242d2787ee4813,7.203459
0b26c12ecc1bc4c1f127d5e6f6302b1b0b584faf,5.519318
771f7a4ff0b16239a5f4a828485e057bd3069308,6.054649
3fb53c585faf97ed5b0ecb316a4b419c969b790a,6.1547856
e594aa5283c8b2076ece870504b4b6b2e9c29ca9,6.2850122
414a76fbb610cfb396dc7177dfe67944fd7175f2,7.1939073
020ef1c31cb4751bbfa1a88fba782db3c402e2fa,7.173431
c5b963fdd21435b56c4cf55f49d652d92fc83093,6.950487
2ecfee45346013cf126b75cfc8bdd2ba3b0c2666,2.5026047
816aa6a9aceb1014260977a52d4ad600065ed4d2,7.3973827
948fbf59cd52083820e8e1682a5bc2a34793997a,8.62763
c399382ea2553528d9b44a9aa6492cee7cf0b5c0,7.045852
661f15eb45462975429d17bf60fc64df4cae4431,7.770667
541270fc6468b9399001ee5a8bfa0cd380e1db60,6.5204215
5f8dfe6855d546a89ee51fdc47f1e3a135f1edf8,8.246188
d2a2d2ee79d993c9821f176d9a248223ee59b3c7,6.234675
67b7c9f4a952be9c0f4759e1991d86a3e1fbbe58,1.9951582
597484c12788a0febfb255aabf5f08df62469313,4.013418
598ceb16f7935dd1dada8de4441690df8cdc9e29,7.18511
911daa5a6058823b007274f35ba038da7ec89a11,6.3126655
3886b365ce33e5988c6c8a73eed09ac8a7c784bf,7.376015
a5b034cb2c29d312a2e5475da6174e196cfc3c1b,7.2991858
da7fa747f59ca321b48b414b2f884d027bc961f8,5.3730936
58a95bac37747ee4fd0e321770a89477f49492a3,7.841839
dc87f8c4ae8953d2d0bcaf1a08239547d77cdee8,6.8569164
8460eaaf887a6289fb156f7562fb739ba8e9629e,7.843379
8e3a076971fce919b1a5a0bc62dcef86264a1c24,8.11025
5a70a8f9f1dac45c7332db8230f0a8a77208507b,5.7131424
1466659761d4827040ac1226fa45ad172c4743a4,6.77119
6729764776215a0456ef5332c5168b4db29314b4,7.447431
363d3494b7918fffc4e59beed6c76eb7d05b2c64,6.2633133
987888aba1d68d84a51fcfef4131d649024e0aec,3.8054988
218191f4a8648e65ada28c23f52f578dec21cd98,6.472122
5a5c99822d76f4f6f1f90521f4c1f1d5e53590a1,5.5618386
c3635fc4a7b4545fc6df8dcad81f86d1e08c66cc,6.806802
8ef9f17bb904f437ec0a9849d820ed0f86843517,7.439308
55664bd6d6073e97a98788e3f319eb36662f29f8,6.8006415
addfbcc77f77c6c80cc3e55261cec181722e68cb,7.9108768
ca84b66fa8d2c26e91bcd21dea081bb062e51711,5.5617747
536602cb1404169f62436284f9cdba1a7b21c7ae,6.7296433
6eca9c1b4a046e9ceb3db39e478ccaa393117c3f,6.31513
73351e7d3ace1ea88b52e895d6fccc2f2bee88f3,7.025081
0a2c78cee9afdc522c5f0fae46937138f47b152b,4.0662236
0785a61c54bc37c6ddad3c02b29d1f9e15adf85b,7.08528
b80a4c674f6640d304722f4a92eb9b47345f1258,5.1523423
713487f0de26590bca3c759e2fef02b3a5bad9fd,7.363628
78ca432228d8679112c09d9b3d50491c5539681a,7.953552
1e48d7fffb4fbe08eec6151ce5b2378258d13aeb,6.3317523
a3c251eb71ac7769282f383672f19d3cf66f1b04,7.320931
038dfa39ea11eb199e32e61fa4bd264d6d7ebc72,6.6488323
f2c6f4d1250f2570b4dc5edfa7d0952ec4b7194f,7.8637314
56df019984fc7a155fc18b5c4ecd2f52c497693e,4.8554635
79f071f88a5c4c3bd278b93f9f622e90e15a10f0,3.4369028
128ed4bebb12d030efad936db13d26a620bd620a,7.1923594
28a125bc7a4d79ba10eeb2abdaa878d46eea4b32,7.661453
be7b5a55c3a0343bda6a2a6ad09c5cfe8714b27f,7.19098
301483d94b9efd8e7d95ca45979a6583215c1d58,6.837098
5faefa46d05d32e90b97c1cc9260bacd6c2f45de,7.626205
