hash,TH,submit_count,final_submit_count,avg_final_score,count_status_0,count_status_1,count_status_2,count_status_3,lang_count,avg_late_coef,avg_submission_per_problem,average_time
ed9eaeb6a707f50154024b24d7efcb874a9795dd,,139,58,9801.724137931034,34,0,0,105,1,100.0,2.396551724137931,6418
ba12c0a2cb367af0467e479c03507c71a805d291,,319,117,10000.0,74,0,0,245,1,100.0,2.8482142857142856,909848
0bd2037bf68a97753e5e67ab55dac026a649f279,4.5,220,54,9084.166666666666,57,0,0,163,1,100.0,4.074074074074074,106527
b7298b0fe50443a623af9b56792b330c2d052845,,247,110,9911.881818181819,36,0,0,211,1,100.0,2.2454545454545456,603250
c60be70309789b39355dc612f36e37090ccad5dc,,172,83,9722.89156626506,26,0,0,146,1,100.0,2.072289156626506,20048
83e4ca230ab9b35d221d09d335850af44966b772,3.5,3,1,3461.0,1,0,0,2,1,100.0,1.5,1730
a22a58c5be8aa2c2700619e37f2b7a6e4efa7e6b,,288,103,9749.728155339806,38,0,0,250,1,100.0,2.796116504854369,51337
d5841f944022e9ef49bf6ac9b5546dd82ab2784f,,6,2,1428.5,0,0,0,6,1,100.0,3.0,1796
0dfa65b4dafad47b15abbfd6c6ce1aeb213901cf,1.0,117,23,4623.173913043478,61,0,0,56,1,100.0,5.086956521739131,80208
67d64015616b9e7f49e213890b7b93a2f8796f07,9.0,455,118,9518.847457627118,61,0,0,394,1,100.0,3.888888888888889,2951634
eb451c65ea210bed6af798282c2c6205c79f71fd,,277,100,9914.28,31,0,0,246,1,100.0,2.77,631408
c3e73d0362e2b21fae6edfcf518063e8a28b7b63,,348,130,9475.238461538462,41,0,0,307,1,100.0,2.7401574803149606,907396
df9e2c6cfb6035fa5b26af3b101bacf64e95e913,,249,112,9353.910714285714,50,0,0,199,1,100.0,2.394230769230769,227802
18fc5492e3a88861f35c23bbb2805f724c1a135a,8.0,140,46,9139.5,17,0,0,123,1,92.14285714285714,3.6842105263157894,325834
99103791231143dd15aa77f2aeb87b2cd4a1c22e,,90,29,9278.965517241379,16,0,0,74,1,100.0,3.103448275862069,446
60c257442a0ef9aa6eb039f58c40be980bfe58b7,7.0,334,64,9559.28125,121,0,0,213,1,100.0,5.138461538461539,84139
4cd092562ee4a06eb01e8bd1e9cb7e169fc38c92,9.5,268,75,9681.133333333333,15,0,0,253,1,98.45149253731343,3.671232876712329,195608
40d6052a7ccec94dae8348e5249381afabbbc985,8.5,154,68,8539.308823529413,32,0,0,122,1,100.0,2.5245901639344264,669640
e2ed5ffddf1e60198f9f138810f84b7107ca0561,,37,16,9437.5,9,0,0,28,1,100.0,2.3125,606
8554d1155712da4bc72ec5921db3227311265359,,422,110,9507.59090909091,65,0,0,357,1,100.0,3.8363636363636364,1551904
020f253c343856ea875e959023e79fb1d4d9c0a3,10.0,3,2,5000.0,0,0,0,3,1,100.0,1.5,180
139aa923bf965f373c678ba8c10f500d78269e20,10.0,260,78,9903.846153846154,32,0,0,228,1,100.0,3.7142857142857144,993188
1e09b1a5541a443716e68239b181fc116425a9b2,8.0,105,58,9890.793103448275,12,0,0,93,1,100.0,1.8103448275862069,28324
89fe8b96c04597a0fb63dca3a86e5f36e7580940,,102,20,9631.55,7,0,0,95,1,99.8529411764706,5.1,221373
8b65dcf807a9de0c95c0896919da04523176fab8,,118,73,9652.95890410959,22,0,0,96,1,100.0,1.6164383561643836,15864
b6e252e4989b3b422d69eae06831ad0bfd396126,,155,70,9322.57142857143,28,0,0,127,1,100.0,2.2142857142857144,47387
9e0457ac0f2824c5e725d83bdeee91ed078343b4,,426,178,9822.095505617977,90,0,0,336,1,100.0,3.8378378378378377,4872306
6c374b4a75105783a809e8b6ba468da3200d0c1a,6.5,129,61,10000.0,15,0,0,114,1,100.0,2.1147540983606556,548583
57b547211651511366a63249605b9b9f4a9c3e9c,4.0,357,90,9252.733333333334,98,0,0,259,1,100.0,4.01123595505618,1593568
c9c6d1fdb1bc64d7137f0fb7050e334cbb7c0f6e,,554,80,9706.875,40,0,0,514,2,96.21841155234657,7.102564102564102,1223117
ed6c052a16794cf2376b1497c505b438e9af69b6,,152,35,9371.42857142857,19,0,0,133,1,100.0,4.3428571428571425,125472
1cb262ad711450f9a6a0f5cf786788b17d2d481a,5.0,322,112,9755.63392857143,119,0,0,203,1,100.0,3.066666666666667,190401
c5d903eea354607809419b5e23c869ea16626a59,,330,112,9680.794642857143,73,0,0,257,1,97.27272727272727,3.0555555555555554,133680
0c67423aa82630d4406e9477bb7462db4df09c4d,10.0,439,69,9513.04347826087,60,0,0,379,1,99.8861047835991,6.455882352941177,103584
701f03bc7072ef7b0114a4769bc8955e5e5c9af2,8.0,47,10,8000.0,14,0,0,33,1,100.0,4.7,39982
927008a1eb1983b52fe269b504f398ca185603c3,,185,55,9472.727272727272,40,0,0,145,1,100.0,3.3636363636363638,562471
7985b1dc9dd0dab814afa417245073d1d74f85ea,5.0,263,61,9967.213114754099,107,0,0,156,1,100.0,4.311475409836065,587269
fd29d68d81bf469540c56ab7074ad748cd72203c,,205,38,9956.131578947368,79,0,0,126,1,100.0,5.394736842105263,980451
d6f54f87ad964bd1cea20ffceea962f8b6236da3,,344,116,9265.801724137931,53,0,0,291,1,100.0,3.099099099099099,2310252
448866b737d07d7d184e7c1111b8f50d1b8fe91b,5.0,104,48,6840.9375,22,0,0,82,1,100.0,2.1666666666666665,25805
